id,x-ini,y-ini,x-goal,y-goal,x-end,y-end,L0-path,L1-path,td,tsh,zt,C
(car 2760),46,-26,16,-2,16,-2,49,49,2,2.6,-99,0
(adult 121),156,-58,152,-31,152,-31,29,29,1,3.3,-99,0
(adult 1183),151,-45,152,-31,152,-31,18,18,2,3.4,-99,0
(car 2752),142,-56,16,-2,16,-2,141,141,2,3.6,-99,0
(adult 430),98,-24,135,-31,135,-31,39,39,1,3.8,-99,0
(adult 2038),125,-18,135,-31,135,-31,60,60,0,4.2,-99,0
(adult 1648),104,-48,135,-31,135,-31,46,46,1,4.4,-99,0
(adult 2489),97,-45,135,-31,135,-31,43,43,1,4.4,-99,0
(adult 1671),151,-43,152,-31,152,-31,17,17,3,4.4,-99,0
(adult 2677),105,-68,135,-31,135,-31,61,61,0,4.6,-99,0
(car 2727),190,-149,1,-160,1,-160,310,310,1,4.6,-99,0
(adult 1425),127,-92,135,-31,135,-31,65,65,0,4.9,-99,0
(adult 936),143,-19,135,-31,135,-31,77,77,0,5.3,-99,0
(adult 1968),87,-33,135,-31,135,-31,43,43,2,5.6,-99,0
(adult 1506),88,-40,135,-31,135,-31,47,47,2,5.7,-99,0
(adult 360),103,-39,135,-31,135,-31,34,34,3,5.7,-99,0
(adult 531),137,-63,135,-31,135,-31,35,35,3,5.7,-99,0
(adult 99),100,-47,135,-31,135,-31,37,37,3,5.9,-99,0
(car 2736),80,-57,16,-2,16,-2,95,95,5,6.1,-99,0
(adult 2167),122,-72,135,-31,135,-31,57,57,2,6.2,-99,0
(adult 2098),106,-70,135,-31,135,-31,58,58,2,6.3,-99,0
(adult 1055),175,-82,152,-31,152,-31,54,54,2,6.3,-99,0
(adult 2674),136,-49,135,-31,135,-31,17,17,5,6.4,-99,0
(adult 265),158,-77,152,-31,152,-31,54,54,2,6.5,-99,0
(adult 1106),91,-62,135,-31,135,-31,62,62,2,6.6,-99,0
(adult 619),110,-22,135,-31,135,-31,35,35,4,6.8,-99,0
(adult 2616),102,-74,135,-31,135,-31,63,63,2,6.8,-99,0
(adult 1897),108,-20,135,-31,135,-31,37,37,4,6.8,-99,0
(adult 2482),137,-58,135,-31,135,-31,36,36,4,6.8,-99,0
(adult 521),166,-20,152,-31,152,-31,21,21,5,6.9,-99,0
(adult 2365),165,-66,152,-31,152,-31,37,37,4,7,-99,0
(adult 1828),112,-45,135,-31,135,-31,26,26,5,7,-99,0
(adult 1100),77,-86,135,-31,135,-31,81,81,1,7.3,-99,0
(adult 432),104,-48,135,-31,135,-31,46,46,4,7.3,-99,0
(adult 1898),206,-97,152,-31,152,-31,80,80,1,7.3,-99,0
(adult 1650),122,-60,135,-31,135,-31,47,47,4,7.4,-99,0
(adult 786),87,-40,135,-31,135,-31,47,47,4,7.7,-99,0
(adult 2093),174,-55,152,-31,152,-31,44,44,4,7.8,-99,0
(adult 2078),180,-67,152,-31,152,-31,49,49,4,7.9,-99,0
(adult 183),99,-64,135,-31,135,-31,51,51,4,7.9,-99,0
(adult 2026),102,-78,135,-31,135,-31,67,67,3,7.9,-99,0
(adult 242),165,-67,152,-31,152,-31,37,37,5,8,-99,0
(adult 1278),199,-48,152,-31,152,-31,52,52,4,8.1,-99,0
(adult 582),96,-68,135,-31,135,-31,57,57,4,8.2,-99,0
(adult 1447),108,-80,135,-31,135,-31,71,71,3,8.3,-99,0
(adult 2337),196,-28,152,-31,152,-31,45,45,5,8.4,-99,0
(adult 1116),206,-114,152,-31,152,-31,93,93,1,8.5,-99,0
(adult 2647),161,-25,152,-31,152,-31,16,16,7,8.5,-99,0
(adult 225),204,-93,152,-31,152,-31,80,80,2,8.5,-99,0
(adult 1407),215,-102,152,-31,152,-31,95,95,1,8.6,-99,0
(adult 193),116,-57,135,-31,135,-31,37,37,6,8.6,-99,0
(adult 2284),204,-122,152,-31,152,-31,100,100,1,8.8,-99,0
(adult 664),95,-23,135,-31,135,-31,42,42,6,9,-99,0
(adult 135),73,-90,135,-31,135,-31,94,94,2,9.1,-99,0
(adult 1688),108,-62,135,-31,135,-31,44,44,6,9.2,-99,0
(adult 525),124,-19,135,-31,135,-31,59,59,5,9.2,-99,0
(adult 263),190,-26,152,-31,152,-31,42,42,6,9.3,-99,0
(adult 708),131,-85,135,-31,135,-31,58,58,5,9.3,-99,0
(adult 431),170,-69,152,-31,152,-31,41,41,6,9.3,-99,0
(adult 1206),190,-40,152,-31,152,-31,42,42,6,9.4,-99,0
(adult 1924),76,-90,135,-31,135,-31,84,84,3,9.4,-99,0
(adult 424),213,-103,152,-31,152,-31,94,94,2,9.5,-99,0
(adult 2505),143,-22,135,-31,135,-31,77,77,4,9.5,-99,0
(adult 2434),208,-90,152,-31,152,-31,81,81,3,9.5,-99,0
(adult 2297),114,-53,135,-31,135,-31,33,33,7,9.5,-99,0
(adult 1886),103,-109,135,-31,135,-31,84,84,3,9.5,-99,0
(adult 2354),89,-21,135,-31,135,-31,49,49,6,9.5,-99,0
(adult 2373),131,-76,135,-31,135,-31,64,64,5,9.5,-99,0
(adult 218),149,-83,152,-31,152,-31,64,64,5,9.7,-99,0
(adult 1587),170,-75,152,-31,152,-31,64,64,5,9.7,-99,0
(adult 309),102,-75,135,-31,135,-31,63,63,5,9.7,-99,0
(adult 2675),136,-121,135,-31,135,-31,105,105,2,9.8,-99,0
(adult 999),219,-60,152,-31,152,-31,114,114,1,9.8,-99,0
(adult 2571),199,-85,152,-31,152,-31,73,73,4,9.8,-99,0
(adult 335),112,-59,135,-31,135,-31,39,39,7,9.9,-99,0
(adult 1712),109,-44,135,-31,135,-31,40,40,7,10,-99,0
(adult 2234),181,-58,152,-31,152,-31,66,66,5,10.1,-99,0
(adult 2154),207,-109,152,-31,152,-31,91,91,3,10.1,-99,0
(adult 2158),146,-23,152,-31,152,-31,110,110,2,10.1,-99,0
(adult 1961),142,-43,135,-31,135,-31,15,15,9,10.1,-99,0
(adult 1181),186,-138,152,-31,152,-31,116,116,1,10.1,-99,0
(adult 2412),127,-113,135,-31,135,-31,95,95,3,10.1,-99,0
(adult 1818),234,-42,152,-31,152,-31,132,132,0,10.1,-99,0
(adult 2189),158,-73,152,-31,152,-31,52,52,6,10.1,-99,0
(adult 1579),189,-53,152,-31,152,-31,67,67,5,10.2,-99,0
(car 2762),84,-131,1,-160,1,-160,97,97,9,10.2,-99,0
(adult 2487),160,-74,152,-31,152,-31,54,54,6,10.3,-99,0
(adult 1684),194,-32,152,-31,152,-31,42,42,7,10.3,-99,0
(adult 2040),97,-62,135,-31,135,-31,58,58,6,10.3,-99,0
(adult 197),186,-68,152,-31,152,-31,55,55,6,10.3,-99,0
(adult 2022),157,-45,152,-31,152,-31,17,17,9,10.4,-99,0
(adult 1008),149,-22,152,-31,152,-31,117,117,2,10.4,-99,0
(adult 1523),182,-30,152,-31,152,-31,32,32,8,10.4,-99,0
(adult 253),120,-114,135,-31,135,-31,84,84,4,10.4,-99,0
(adult 368),182,-30,152,-31,152,-31,32,32,8,10.4,-99,0
(adult 1486),64,-123,135,-31,135,-31,115,115,2,10.6,-99,0
(adult 138),227,-72,152,-31,152,-31,112,112,2,10.6,-99,0
(adult 2289),186,-121,152,-31,152,-31,95,95,3,10.6,-99,0
(adult 2464),226,-69,152,-31,152,-31,111,111,2,10.6,-99,0
(adult 2664),208,-84,152,-31,152,-31,84,84,4,10.7,-99,0
(adult 744),191,-21,152,-31,152,-31,46,46,7,10.8,-99,0
(adult 2139),178,-88,152,-31,152,-31,58,58,6,10.8,-99,0
(adult 1388),209,-125,152,-31,152,-31,115,115,2,10.9,-99,0
(adult 1619),103,-80,135,-31,135,-31,68,68,6,11,-99,0
(adult 956),143,-102,135,-31,135,-31,95,95,4,11,-99,0
(adult 24),98,-46,135,-31,135,-31,37,37,8,11,-99,0
(adult 109),136,-99,135,-31,135,-31,98,98,4,11,-99,0
(adult 872),119,-46,135,-31,135,-31,29,29,9,11,-99,0
(adult 527),143,-39,135,-31,135,-31,15,15,10,11.1,-99,0
(adult 2565),154,-85,152,-31,152,-31,69,69,6,11.1,-99,0
(adult 2237),214,-55,152,-31,152,-31,102,102,3,11.1,-99,0
(adult 329),151,-77,152,-31,152,-31,66,66,6,11.1,-99,0
(adult 2150),108,-58,135,-31,135,-31,43,43,8,11.2,-99,0
(adult 312),124,-120,135,-31,135,-31,105,105,3,11.2,-99,0
(adult 1559),159,-45,152,-31,152,-31,14,14,10,11.2,-99,0
(adult 2048),180,-80,152,-31,152,-31,53,53,7,11.3,-99,0
(adult 2583),158,-44,152,-31,152,-31,15,15,10,11.3,-99,0
(adult 1534),121,-51,135,-31,135,-31,31,31,9,11.3,-99,0
(adult 1375),77,-129,135,-31,135,-31,125,125,2,11.3,-99,0
(adult 1207),173,-95,152,-31,152,-31,86,86,5,11.4,-99,0
(adult 1086),163,-76,152,-31,152,-31,55,55,7,11.4,-99,0
(adult 1787),211,-75,152,-31,152,-31,95,95,4,11.5,-99,0
(adult 1058),211,-63,152,-31,152,-31,95,95,4,11.5,-99,0
